Labels,AKN150MXB1t090R1,
Type,Emission Scan,
Comment,,
Start,495.00,
Stop,525.00,
Step,1.00,
Fixed/Offset,468.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,1.00,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.99968487,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,0.99968487,
Detector,Detector 1,

495.00,5.13810125E+5,
496.00,5.19183906E+5,
497.00,5.25519375E+5,
498.00,5.32670125E+5,
499.00,5.38597813E+5,
500.00,5.45756938E+5,
501.00,5.54512625E+5,
502.00,5.61210625E+5,
503.00,5.67542375E+5,
504.00,5.74530938E+5,
505.00,5.81792875E+5,
506.00,5.87353625E+5,
507.00,5.92399563E+5,
508.00,5.95100438E+5,
509.00,5.98376313E+5,
510.00,5.99639813E+5,
511.00,5.97199438E+5,
512.00,5.95562125E+5,
513.00,5.93928188E+5,
514.00,5.88285438E+5,
515.00,5.81088063E+5,
516.00,5.75522063E+5,
517.00,5.65897938E+5,
518.00,5.54712625E+5,
519.00,5.43980688E+5,
520.00,5.34203438E+5,
521.00,5.21449500E+5,
522.00,5.09245188E+5,
523.00,4.97109625E+5,
524.00,4.84526938E+5,
525.00,4.70801813E+5,
