Labels,AKN150MXB1t300R1,
Type,Emission Scan,
Comment,,
Start,495.00,
Stop,525.00,
Step,1.00,
Fixed/Offset,468.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,1.00,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.99968487,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,0.99968487,
Detector,Detector 1,

495.00,4.57006000E+5,
496.00,4.59026438E+5,
497.00,4.60910063E+5,
498.00,4.65335688E+5,
499.00,4.68387344E+5,
500.00,4.71881219E+5,
501.00,4.76439750E+5,
502.00,4.81130594E+5,
503.00,4.85268969E+5,
504.00,4.89717188E+5,
505.00,4.94788438E+5,
506.00,4.99828125E+5,
507.00,5.03528406E+5,
508.00,5.05301188E+5,
509.00,5.08557813E+5,
510.00,5.09451281E+5,
511.00,5.08378813E+5,
512.00,5.05455125E+5,
513.00,5.03588125E+5,
514.00,4.99064188E+5,
515.00,4.95146844E+5,
516.00,4.88759063E+5,
517.00,4.79421656E+5,
518.00,4.71645656E+5,
519.00,4.62440875E+5,
520.00,4.52651469E+5,
521.00,4.42058813E+5,
522.00,4.31605063E+5,
523.00,4.19651500E+5,
524.00,4.10047656E+5,
525.00,3.99476375E+5,
