Labels,AKN150MXB1t090R2,
Type,Emission Scan,
Comment,,
Start,495.00,
Stop,525.00,
Step,1.00,
Fixed/Offset,468.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,1.00,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.99968487,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,0.99968487,
Detector,Detector 1,

495.00,5.24400188E+5,
496.00,5.29318688E+5,
497.00,5.35708250E+5,
498.00,5.42004875E+5,
499.00,5.49422750E+5,
500.00,5.56904438E+5,
501.00,5.63301313E+5,
502.00,5.71234875E+5,
503.00,5.77779875E+5,
504.00,5.85043563E+5,
505.00,5.92167563E+5,
506.00,5.96651688E+5,
507.00,6.02530563E+5,
508.00,6.07141750E+5,
509.00,6.09205938E+5,
510.00,6.07901000E+5,
511.00,6.08664188E+5,
512.00,6.06308500E+5,
513.00,6.00557813E+5,
514.00,5.97791688E+5,
515.00,5.92275250E+5,
516.00,5.84484125E+5,
517.00,5.73727063E+5,
518.00,5.64083313E+5,
519.00,5.52796125E+5,
520.00,5.42367688E+5,
521.00,5.30031875E+5,
522.00,5.16624781E+5,
523.00,5.05312563E+5,
524.00,4.91013594E+5,
525.00,4.78815281E+5,
