Labels,AKN150MXB1t010R3,
Type,Emission Scan,
Comment,,
Start,495.00,
Stop,525.00,
Step,1.00,
Fixed/Offset,468.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,1.00,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.99968487,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,0.99968487,
Detector,Detector 1,

495.00,5.27317313E+5,
496.00,5.34065250E+5,
497.00,5.41638625E+5,
498.00,5.49966250E+5,
499.00,5.58731063E+5,
500.00,5.67733313E+5,
501.00,5.75643188E+5,
502.00,5.84954375E+5,
503.00,5.93007250E+5,
504.00,6.00479313E+5,
505.00,6.09183375E+5,
506.00,6.15584125E+5,
507.00,6.20544063E+5,
508.00,6.26167438E+5,
509.00,6.28015625E+5,
510.00,6.28851750E+5,
511.00,6.27808875E+5,
512.00,6.26893688E+5,
513.00,6.22741875E+5,
514.00,6.18057813E+5,
515.00,6.12127313E+5,
516.00,6.03622625E+5,
517.00,5.94932938E+5,
518.00,5.84160750E+5,
519.00,5.72016563E+5,
520.00,5.61170688E+5,
521.00,5.48272125E+5,
522.00,5.34955188E+5,
523.00,5.21398188E+5,
524.00,5.09767125E+5,
525.00,4.95995656E+5,
